batter,pitcher,stand,p_throws,events,description,player_AVG,player_OBP,player_SLG,player_PA
680776,607074,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,607074,L,L,,ball,0.285,0.342,0.492,735
680776,657612,L,L,,ball,0.285,0.342,0.492,735
680776,592454,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,592454,L,R,,ball,0.285,0.342,0.492,735
680776,607074,L,L,,foul_tip,0.285,0.342,0.492,735
680776,657612,L,L,,called_strike,0.285,0.342,0.492,735
680776,543037,L,R,hit_by_pitch,hit_by_pitch,0.285,0.342,0.492,735
680776,543037,L,R,,foul,0.285,0.342,0.492,735
680776,543037,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,543037,L,R,,ball,0.285,0.342,0.492,735
680776,641835,L,L,single,hit_into_play,0.285,0.342,0.492,735
680776,657612,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,543037,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,543037,L,R,,called_strike,0.285,0.342,0.492,735
680776,543037,L,R,,ball,0.285,0.342,0.492,735
680776,657376,L,R,single,hit_into_play,0.285,0.342,0.492,735
680776,657376,L,R,,foul,0.285,0.342,0.492,735
680776,657376,L,R,,called_strike,0.285,0.342,0.492,735
680776,657376,L,R,,foul,0.285,0.342,0.492,735
680776,657376,L,R,strikeout,foul_tip,0.285,0.342,0.492,735
680776,657376,L,R,,ball,0.285,0.342,0.492,735
680776,657376,L,R,,called_strike,0.285,0.342,0.492,735
680776,657376,L,R,,called_strike,0.285,0.342,0.492,735
680776,643410,L,R,double,hit_into_play,0.285,0.342,0.492,735
680776,657376,L,R,single,hit_into_play,0.285,0.342,0.492,735
680776,657376,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,657376,L,R,,foul,0.285,0.342,0.492,735
680776,641482,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,641482,L,L,,called_strike,0.285,0.342,0.492,735
680776,641482,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,641482,L,L,,foul,0.285,0.342,0.492,735
680776,641482,L,L,,ball,0.285,0.342,0.492,735
680776,641482,L,L,,foul,0.285,0.342,0.492,735
680776,657612,L,L,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,605280,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,641482,L,L,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,605280,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,657612,L,L,,foul,0.285,0.342,0.492,735
680776,641482,L,L,,ball,0.285,0.342,0.492,735
680776,657612,L,L,,ball,0.285,0.342,0.492,735
680776,641482,L,L,,ball,0.285,0.342,0.492,735
680776,605280,L,R,,called_strike,0.285,0.342,0.492,735
680776,641482,L,L,,foul,0.285,0.342,0.492,735
680776,657612,L,L,,called_strike,0.285,0.342,0.492,735
680776,641482,L,L,,swinging_strike,0.285,0.342,0.492,735
680776,641482,L,L,,called_strike,0.285,0.342,0.492,735
680776,665152,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,665152,L,R,,foul,0.285,0.342,0.492,735
680776,665152,L,R,,ball,0.285,0.342,0.492,735
680776,665152,L,R,,ball,0.285,0.342,0.492,735
680776,665152,L,R,,foul,0.285,0.342,0.492,735
