player_AVG,player_OBP,player_SLG,player_PA,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip,is_hit,stand_R,p_throws_R,description_encoded
0.285,0.342,0.492,735,2.32,0.974,7.0,4.88,4,8,41,50.1,0.253,1,0,0,0
0.285,0.342,0.492,735,2.32,0.974,7.0,4.88,4,8,41,50.1,0.253,0,0,0,2
0.285,0.342,0.492,735,2.71,1.074,8.5,4.0,3,18,64,76.1,0.286,0,0,1,0
0.285,0.342,0.492,735,3.42,1.195,9.2,2.34,6,32,56,73.2,0.269,0,0,1,2
0.285,0.342,0.492,735,2.39,0.91,10.6,6.7,16,37,155,211.0,0.271,0,0,0,0
0.285,0.342,0.492,735,2.39,0.91,10.6,6.7,16,37,155,211.0,0.271,1,0,0,0
0.285,0.342,0.492,735,2.61,0.81,7.5,4.61,8,18,63,100.0,0.209,0,0,0,0
0.285,0.342,0.492,735,2.39,0.91,10.6,6.7,16,37,155,211.0,0.271,0,0,0,0
0.285,0.342,0.492,735,4.49,1.466,6.9,2.69,11,29,121,102.1,0.331,0,0,1,0
0.285,0.342,0.492,735,4.49,1.466,6.9,2.69,11,29,121,102.1,0.331,0,0,1,0
0.285,0.342,0.492,735,1.74,1.129,7.3,3.57,2,7,28,31.0,0.28,0,0,1,0
0.285,0.342,0.492,735,2.61,0.81,7.5,4.61,8,18,63,100.0,0.209,1,0,0,0
0.285,0.342,0.492,735,4.49,1.466,6.9,2.69,11,29,121,102.1,0.331,1,0,1,0
0.285,0.342,0.492,735,3.3,0.926,8.0,4.18,17,22,74,103.2,0.212,0,0,1,0
0.285,0.342,0.492,735,3.3,0.926,8.0,4.18,17,22,74,103.2,0.212,0,0,1,0
0.285,0.342,0.492,735,3.27,1.032,7.4,3.07,8,14,40,52.1,0.23,0,0,1,0
0.285,0.342,0.492,735,3.3,0.926,8.0,4.18,17,22,74,103.2,0.212,0,0,1,0
0.285,0.342,0.492,735,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335,0,0,1,2
0.285,0.342,0.492,735,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335,0,0,1,4
0.285,0.342,0.492,735,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335,1,0,1,0
0.285,0.342,0.492,735,3.74,1.314,7.1,1.89,7,19,41,45.2,0.264,0,0,0,0
0.285,0.342,0.492,735,4.47,1.315,8.8,2.13,11,40,74,86.2,0.276,0,0,1,0
0.285,0.342,0.492,735,4.47,1.315,8.8,2.13,11,40,74,86.2,0.276,1,0,1,0
0.285,0.342,0.492,735,4.09,1.227,7.8,2.11,2,9,18,22.0,0.262,0,0,1,2
0.285,0.342,0.492,735,4.47,1.315,8.8,2.13,11,40,74,86.2,0.276,1,0,1,0
0.285,0.342,0.492,735,3.6,1.154,7.2,2.83,31,54,168,192.1,0.258,1,0,1,0
0.285,0.342,0.492,735,3.6,1.154,7.2,2.83,31,54,168,192.1,0.258,0,0,1,0
0.285,0.342,0.492,735,3.6,1.154,7.2,2.83,31,54,168,192.1,0.258,1,0,1,0
0.285,0.342,0.492,735,3.6,1.154,7.2,2.83,31,54,168,192.1,0.258,1,0,1,0
0.285,0.342,0.492,735,4.03,1.167,7.7,3.32,11,19,67,73.2,0.275,0,0,1,4
0.285,0.342,0.492,735,4.03,1.167,7.7,3.32,11,19,67,73.2,0.275,0,0,1,0
0.285,0.342,0.492,735,3.92,1.173,8.0,2.94,1,18,52,59.2,0.298,0,0,0,0
0.285,0.342,0.492,735,4.03,1.167,7.7,3.32,11,19,67,73.2,0.275,0,0,1,3
