mlbID,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip
656849,2.78,1.296,7.4,2.12,8,50,118,129.2,0.295
694297,4.71,1.239,9.2,4.4,24,42,183,181.2,0.316
623465,3.41,1.121,10.2,3.88,6,17,48,58.0,0.286
663969,6.87,1.418,6.9,4.0,9,7,45,36.2,0.316
666207,21.6,3.0,18.9,1.4,2,5,5,3.1,0.5
620982,10.97,2.25,6.8,1.6,2,5,19,10.2,0.405
601713,4.19,1.146,10.4,4.5,27,36,124,139.2,0.28
668676,8.25,1.583,3.8,0.71,4,7,12,12.0,0.211
621363,3.86,1.152,8.0,2.54,7,13,30,37.1,0.23
647315,5.63,1.333,6.2,1.74,9,19,45,48.0,0.25
547001,2.22,1.069,5.9,2.0,2,8,18,24.1,0.232
700249,5.2,1.431,7.8,2.03,12,34,80,79.2,0.291
668472,0.0,1.0,9.0,,0,0,1,1.0,0.333
519151,3.92,1.378,9.4,3.16,4,19,60,57.1,0.346
682990,4.71,1.409,6.0,2.36,7,14,56,49.2,0.299
643493,12.46,2.539,2.1,0.33,3,3,8,4.1,0.294
640462,3.15,1.108,11.1,3.14,5,28,51,71.1,0.271
615698,4.98,1.517,6.7,1.59,23,69,156,148.1,0.302
650671,3.26,1.5,11.2,1.41,1,17,12,19.1,0.282
500779,3.52,1.224,7.2,2.21,22,66,156,181.1,0.262
666142,3.03,1.141,10.8,3.32,15,71,153,196.1,0.292
663432,4.76,1.49,7.8,1.52,8,29,47,51.0,0.267
548384,0.0,0.714,11.6,3.0,0,3,2,7.0,0.154
642629,6.97,1.403,9.1,2.63,3,8,21,20.2,0.316
541640,4.35,1.065,6.5,1.5,5,10,12,20.2,0.13
598286,6.08,1.875,3.4,0.71,0,7,18,13.1,0.353
670990,6.2,1.467,9.0,2.65,4,17,49,45.0,0.352
656876,2.83,1.081,11.0,5.83,0,6,25,28.2,0.333
592662,4.7,1.141,12.6,2.87,6,15,20,30.2,0.241
607067,4.29,1.264,7.2,3.14,29,43,169,167.2,0.282
656887,1.66,1.246,10.4,1.79,0,14,13,21.2,0.255
622103,4.5,1.75,4.5,0.67,0,3,4,4.0,0.308
622569,0.0,2.0,0.0,0.0,0,1,1,1.0,0.25
669308,0.82,1.364,17.2,4.2,0,5,10,11.0,0.455
687377,13.5,3.6,8.1,1.5,0,2,10,3.1,0.588
670950,4.55,1.209,8.5,1.77,7,35,44,65.1,0.219
680689,27.0,4.5,13.5,1.0,1,1,2,0.2,0.5
660844,0.0,1.0,0.0,,0,0,2,2.0,0.222
656896,9.0,1.75,0.0,,1,0,7,4.0,0.333
642016,3.18,1.412,9.5,3.0,1,2,6,5.2,0.333
681799,3.71,1.538,8.8,2.6,3,10,31,26.2,0.359
502085,3.0,1.111,12.4,3.67,5,27,53,72.0,0.302
687798,4.05,1.275,9.5,7.0,3,2,15,13.1,0.333
677958,3.86,1.543,10.8,2.33,1,6,12,11.2,0.344
607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
692230,7.3,1.784,6.6,3.0,3,3,19,12.1,0.39
