batter,pitcher,stand,p_throws,events,description,player_AVG,player_OBP,player_SLG,player_PA,mlbID,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip
680776,608344,L,L,,ball,0.285,0.342,0.492,735,608344,5.11,1.451,6.3,2.69,18,29,132,111.0,0.317
680776,805673,L,R,,called_strike,0.285,0.342,0.492,735,805673,6.69,1.646,10.3,3.91,11,11,51,37.2,0.364
680776,641154,L,R,,foul,0.285,0.342,0.492,735,641154,4.08,1.192,9.6,4.83,26,41,180,185.1,0.311
680776,701581,L,R,single,hit_into_play,0.285,0.342,0.492,735,701581,4.9,1.321,10.8,3.35,9,23,62,64.1,0.319
680776,701581,L,R,,called_strike,0.285,0.342,0.492,735,701581,4.9,1.321,10.8,3.35,9,23,62,64.1,0.319
680776,701581,L,R,walk,ball,0.285,0.342,0.492,735,701581,4.9,1.321,10.8,3.35,9,23,62,64.1,0.319
680776,701581,L,R,,ball,0.285,0.342,0.492,735,701581,4.9,1.321,10.8,3.35,9,23,62,64.1,0.319
680776,701581,L,R,,ball,0.285,0.342,0.492,735,701581,4.9,1.321,10.8,3.35,9,23,62,64.1,0.319
680776,701581,L,R,,ball,0.285,0.342,0.492,735,701581,4.9,1.321,10.8,3.35,9,23,62,64.1,0.319
680776,701581,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735,701581,4.9,1.321,10.8,3.35,9,23,62,64.1,0.319
680776,663485,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735,663485,3.28,0.995,10.7,7.08,6,12,59,71.1,0.291
680776,701581,L,R,,foul,0.285,0.342,0.492,735,701581,4.9,1.321,10.8,3.35,9,23,62,64.1,0.319
680776,663485,L,R,,ball,0.285,0.342,0.492,735,663485,3.28,0.995,10.7,7.08,6,12,59,71.1,0.291
680776,663485,L,R,,blocked_ball,0.285,0.342,0.492,735,663485,3.28,0.995,10.7,7.08,6,12,59,71.1,0.291
680776,701581,L,R,,foul,0.285,0.342,0.492,735,701581,4.9,1.321,10.8,3.35,9,23,62,64.1,0.319
680776,663485,L,R,,swinging_strike,0.285,0.342,0.492,735,663485,3.28,0.995,10.7,7.08,6,12,59,71.1,0.291
680776,701581,L,R,,ball,0.285,0.342,0.492,735,701581,4.9,1.321,10.8,3.35,9,23,62,64.1,0.319
680776,663485,L,R,,foul,0.285,0.342,0.492,735,663485,3.28,0.995,10.7,7.08,6,12,59,71.1,0.291
680776,701581,L,R,,swinging_strike,0.285,0.342,0.492,735,701581,4.9,1.321,10.8,3.35,9,23,62,64.1,0.319
680776,678692,L,R,single,hit_into_play,0.285,0.342,0.492,735,678692,3.26,1.293,7.0,3.0,2,5,20,19.1,0.31
680776,701581,L,R,,called_strike,0.285,0.342,0.492,735,701581,4.9,1.321,10.8,3.35,9,23,62,64.1,0.319
680776,678692,L,R,,ball,0.285,0.342,0.492,735,678692,3.26,1.293,7.0,3.0,2,5,20,19.1,0.31
680776,641793,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,641793,3.63,1.247,8.1,4.55,22,31,164,156.1,0.312
680776,641793,L,R,,called_strike,0.285,0.342,0.492,735,641793,3.63,1.247,8.1,4.55,22,31,164,156.1,0.312
680776,641793,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,641793,3.63,1.247,8.1,4.55,22,31,164,156.1,0.312
680776,641793,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,641793,3.63,1.247,8.1,4.55,22,31,164,156.1,0.312
680776,686752,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,686752,L,R,,foul,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,686752,L,R,,ball,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,686752,L,R,,ball,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,686752,L,R,,foul,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,686752,L,R,,foul,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,686752,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,656876,L,R,single,hit_into_play,0.285,0.342,0.492,735,656876,2.83,1.081,11.0,5.83,0,6,25,28.2,0.333
680776,656876,L,R,,foul,0.285,0.342,0.492,735,656876,2.83,1.081,11.0,5.83,0,6,25,28.2,0.333
680776,656876,L,R,,foul,0.285,0.342,0.492,735,656876,2.83,1.081,11.0,5.83,0,6,25,28.2,0.333
680776,656876,L,R,,called_strike,0.285,0.342,0.492,735,656876,2.83,1.081,11.0,5.83,0,6,25,28.2,0.333
680776,686752,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,686752,L,R,,ball,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,686752,L,R,,foul,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,686752,L,R,,ball,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,686752,L,R,,foul,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,686752,L,R,,foul_tip,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,669358,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
680776,669358,L,R,,foul,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
680776,669358,L,R,,foul,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
680776,669358,L,R,,foul,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
680776,669358,L,R,,foul_tip,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
680776,669358,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
680776,669358,L,R,,foul_tip,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
680776,664076,L,L,strikeout,swinging_strike,0.285,0.342,0.492,735,664076,3.75,1.383,10.7,2.29,6,31,52,60.0,0.305
680776,664076,L,L,,foul,0.285,0.342,0.492,735,664076,3.75,1.383,10.7,2.29,6,31,52,60.0,0.305
680776,664076,L,L,,swinging_strike,0.285,0.342,0.492,735,664076,3.75,1.383,10.7,2.29,6,31,52,60.0,0.305
680776,664076,L,L,,ball,0.285,0.342,0.492,735,664076,3.75,1.383,10.7,2.29,6,31,52,60.0,0.305
680776,664076,L,L,,swinging_strike,0.285,0.342,0.492,735,664076,3.75,1.383,10.7,2.29,6,31,52,60.0,0.305
680776,664076,L,L,,ball,0.285,0.342,0.492,735,664076,3.75,1.383,10.7,2.29,6,31,52,60.0,0.305
680776,669358,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
680776,669358,L,R,,ball,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
680776,669358,L,R,,foul,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
